Código IBGE;Municípios;   Ano   ;População;Porte Populacional
3540408;Populina;2021; 3.977 ;Até 50 mil
3540507;Porangaba;2021; 9.380 ;Até 50 mil
3540606;Porto Feliz;2021; 51.907 ;De 50 a 100 mil
3540705;Porto Ferreira;2021; 54.274 ;De 50 a 100 mil
3540754;Potim;2021; 20.815 ;Até 50 mil
3540804;Potirendaba;2021; 16.677 ;Até 50 mil
3540853;Pracinha;2021; 2.921 ;Até 50 mil
3540903;Pradópolis;2021; 21.167 ;Até 50 mil
3541000;Praia Grande;2021; 321.008 ;De 200 a 500 mil
3541059;Pratânia;2021; 5.210 ;Até 50 mil
3541109;Presidente Alves;2021; 4.011 ;Até 50 mil
3541208;Presidente Bernardes;2021; 13.713 ;Até 50 mil
3541307;Presidente Epitácio;2021; 42.484 ;Até 50 mil
3541406;Presidente Prudente;2021; 221.938 ;De 200 a 500 mil
